domain,length,digit_ratio,special_chars,subdomains,has_long_random,has_idn,is_base64,is_hex_encoded,avg_subdomain_length,max_subdomain_length,domain_entropy,has_repeated_patterns,has_consecutive_chars,label
post.38be7784e9b4252a764526915e285a189a913de9c617dd025b0c71462.6ae59a156151f54caef84ba7fbf2b176fe5eb5b7890e737de56d82df.a46d7d061d79dc8e881c63dc889f9a955af8a9f3a20160bf81500f92.715fc7796.2028a4f2.bot.hackbiji.top,212,0.5754716981132075,0,8,1,0,1,0,25.125,57,4.306964051219082,0,0,1
post.3c7e91845f0e1f3efedf178949b84a91234d1e7e98879840b4510e732.dd6d86b289d9c2d23b31087537c6d28f971a64b84d42ed232c99f138.99aa82aff0ad98ad16b040ef68491d10643a10b0c82572916cb43be3.76fea7af9.5a6d07fe.bot.hackbiji.top,212,0.5754716981132075,0,8,1,0,1,0,25.125,57,4.310875647965617,0,0,1
api.01bfd437f.2028a4f2.bot.hackbiji.top,39,0.282051282051282,0,5,0,0,0,0,6.2,9,4.12170791154804,0,0,1
www.180.048485e18.5a6d07fe.bot.hackbiji.top,43,0.3488372093023256,0,6,0,0,0,0,5.666666666666667,9,4.239763591710147,0,0,1
post.399bb92fd698f446ba7cad6d162338aa7b1f204a0044e6654f4952344.dfbfa2fcd9585da9d50c5ea85c2f57452b14b19baee6a8138321b31a.06d06db0c3abfeacfded4227a3e1390561211b42d008b7260a719b90.37b83504a.337cecb6.bot.hackbiji.top,212,0.5471698113207547,0,8,1,0,1,0,25.125,57,4.313828872399699,0,0,1
post.124f40f84cbb567cd.b1f39681e.337cecb6.bot.hackbiji.top,58,0.3448275862068966,0,6,1,0,1,0,8.166666666666666,17,4.376715426192486,0,0,1
post.1e86a86335ce52ab66cd9fd70.a24f42253.5a6d07fe.bot.hackbiji.top,66,0.3939393939393939,0,6,1,0,1,0,9.5,25,4.456997816774995,0,0,1
post.393bf198aa7e82cc060cdfaa5ede077473f7f6038b28de0d8a49dee3f.8f8901a8a37cfe36a8645fcde83c2efa593f58fb7c5986e5da75188e.4b5012ae45ca272b2c0bb9f2095b1cabe340763988c21945c0cfa2c2.458a35de8.2028a4f2.bot.hackbiji.top,212,0.5235849056603774,0,8,1,0,1,0,25.125,57,4.292045299850502,0,0,1
post.35677e5b7504edea0e29a88b222c9705f0ca6a0a781e45f0cf3e02be3.e3280384b9d464859e367d729cec294b1726e3635588a0417b7f1156.f9758e6eda66a9ac95b67ede714323a9bb8c2cc81838a3abca586b8a.1508070ca.714e2cfa.bot.hackbiji.top,212,0.5660377358490566,0,8,1,0,1,0,25.125,57,4.296822823735711,0,0,1
post.1300.024f42253.5a6d07fe.bot.hackbiji.top,45,0.3555555555555555,0,6,0,0,0,0,6.0,9,4.296865596089289,0,0,1
post.35734be50826458789375c3c1417b93b927c235dc48fc4147af22c29e.6992fc2d149cc41b1b3b7bb0aed582c0a5a170714ececc62c8f00546.8309c8b1daef5c4a4e040539816d8d0775f91908c85b49ae4ca2a93f.3527f655e.714e2cfa.bot.hackbiji.top,212,0.5754716981132075,0,8,1,0,1,0,25.125,57,4.299350198642419,0,0,1
post.1300.0527f655e.714e2cfa.bot.hackbiji.top,45,0.3333333333333333,0,6,0,0,0,0,6.0,9,4.280090318263435,0,0,1
