domain,length,digit_ratio,special_chars,subdomains,has_long_random,has_idn,is_base64,is_hex_encoded,avg_subdomain_length,max_subdomain_length,domain_entropy,has_repeated_patterns,has_consecutive_chars,label
google.com,11,0.0,0,1,0,0,0,0,6.0,6,3.3219,0,0,0
baidu.com,10,0.0,0,1,0,0,0,0,5.0,5,3.2556,0,0,0
qq.com,6,0.0,0,1,0,0,0,0,2.0,2,2.0000,0,0,0
taobao.com,11,0.0,0,1,0,0,0,0,6.0,6,3.4594,0,0,0
jd.com,6,0.0,0,1,0,0,0,0,2.0,2,2.0000,0,0,0
microsoft.com,14,0.0,0,1,0,0,0,0,9.0,9,3.5216,0,0,0
apple.com,10,0.0,0,1,0,0,0,0,5.0,5,3.1699,0,0,0
amazon.com,11,0.0,0,1,0,0,0,0,6.0,6,3.3219,0,0,0
facebook.com,14,0.0,0,1,0,0,0,0,9.0,9,3.5216,0,0,0
twitter.com,12,0.0,0,1,0,0,0,0,7.0,7,3.3923,0,0,0
youtube.com,13,0.0,0,1,0,0,0,0,8.0,8,3.4765,0,0,0
wikipedia.org,16,0.0,0,1,0,0,0,0,10.0,10,3.6593,0,0,0
sina.com.cn,14,0.0,0,2,0,0,0,0,4.0,5,3.5216,0,0,0
163.com,7,0.0,0,1,0,0,0,0,3.0,3,2.5849,0,0,0
outlook.com,13,0.0,0,1,0,0,0,0,8.0,8,3.4765,0,0,0
live.com,8,0.0,0,1,0,0,0,0,4.0,4,2.8074,0,0,0
office.com,11,0.0,0,1,0,0,0,0,6.0,6,3.3219,0,0,0
aliyun.com,12,0.0,0,1,0,0,0,0,7.0,7,3.3923,0,0,0
cloud.tencent.com,18,0.0,0,2,0,0,0,0,6.5,10,3.7004,0,0,0
github.com,11,0.0,0,1,0,0,0,0,6.0,6,3.3219,0,0,0
gitlab.com,11,0.0,0,1,0,0,0,0,6.0,6,3.3219,0,0,0
docker.com,11,0.0,0,1,0,0,0,0,6.0,6,3.3219,0,0,0
xn--fiqs8s.xn--fiqz9s,26,0.0,0,1,0,1,0,0,12.0,12,3.9512,0,0,1
aGVsbG8gd29ybGQ=.example.com,34,0.0,1,2,0,0,1,0,14.0,17,4.2195,0,0,1
68656C6C6F20776F726C64.example.com,42,0.5,1,2,0,0,0,1,17.5,25,4.3923,0,0,1
abcdefghijklmnopqrstuvwxyz.example.com,44,0.0,0,2,1,0,0,0,17.0,26,4.4406,0,0,1
aaaaaaaaaaaaaaaa.example.com,28,0.0,0,2,1,0,0,0,12.0,16,1.0000,1,1,1
abcabcabc.example.com,20,0.0,0,2,0,0,0,0,6.0,9,2.9183,1,0,1
123456789012345.example.com,28,1.0,0,2,1,0,0,0,12.0,15,1.0000,0,0,1
malicious-dns-tunnel.net,26,0.0,1,1,0,0,0,0,20.0,20,3.8928,0,0,1
encrypted-data.xn--p1ai,28,0.0,0,2,0,1,0,0,10.5,16,4.0294,0,0,1
verylongrandomstring1234567890.com,42,0.357,0,1,1,0,0,0,42.0,42,4.3219,0,0,1
test123.test456.test789.biz,32,0.375,0,4,0,0,0,0,6.0,9,3.7369,0,0,1
suddenlyverylongsubdomainthatisrandom.com,48,0.0,0,1,1,0,0,0,48.0,48,4.5849,0,0,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.com,44,0.0,0,1,1,0,0,0,44.0,44,1.0000,1,1,1
11111111111111111111111111111111.com,44,1.0,0,1,1,0,0,0,44.0,44,1.0000,1,1,1
mixoflettersandnumbers1234567890abcdef.com,50,0.32,0,1,1,0,0,0,50.0,50,4.5979,0,0,1
qwertzuiopasdfghjklyxcvbnm1234567890.com,52,0.346,0,1,1,0,0,0,52.0,52,4.6347,0,0,1
random123random456random789random.com,40,0.225,0,1,1,0,0,0,40.0,40,4.4919,1,0,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.com,52,0.0,0,1,1,0,0,0,52.0,52,1.0000,1,1,1
